iter	Passed	Remaining
909	2711	268
910	2714	265
911	2717	262
912	2719	259
913	2722	256
914	2724	253
915	2727	250
916	2729	247
917	2732	244
918	2735	241
919	2738	238
920	2740	235
921	2743	232
922	2747	229
923	2750	226
924	2752	223
925	2755	220
926	2757	217
927	2759	214
928	2762	211
929	2765	208
930	2768	205
931	2770	202
932	2772	199
933	2775	196
934	2779	193
935	2782	190
936	2785	187
937	2787	184
938	2790	181
939	2795	178
940	2798	175
941	2800	172
942	2802	169
943	2804	166
944	2807	163
945	2809	160
946	2812	157
947	2815	154
948	2817	151
949	2819	148
950	2841	146
951	2845	143
952	2847	140
953	2850	137
954	2856	134
955	2859	131
956	2861	128
957	2863	125
958	2865	122
959	2870	119
960	2872	116
961	2875	113
962	2877	110
963	2879	107
964	2881	104
965	2883	101
966	2886	98
967	2888	95
968	2890	92
969	2893	89
970	2895	86
971	2897	83
972	2898	80
973	2901	77
974	2903	74
975	2905	71
976	2908	68
977	2910	65
978	2912	62
979	2915	59
980	2917	56
981	2919	53
982	2922	50
983	2924	47
984	2926	44
985	2930	41
986	2932	38
987	2934	35
988	2937	32
989	2939	29
990	2942	26
991	2945	23
992	2947	20
993	2951	17
994	2954	14
995	2958	11
996	2961	8
997	2964	5
998	2966	2
999	2969	0
